path,datetime,latitude,longitude,gps_source
x:\Photos\MobileBackup\iPhone\2024\08\IMG_0393.PNG,2024-08-22T16:44:59+00:00,-23.803091666666667,-46.021033333333335,proxy
x:\Photos\MobileBackup\iPhone\2025\03\IMG_2491.PNG,2025-03-15T20:44:33+00:00,49.977333333333334,9.156530555555555,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2539.PNG,2025-04-01T18:27:52+00:00,49.97445555555556,9.146841666666667,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2602.PNG,2025-04-16T20:17:00+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2603.PNG,2025-04-16T20:17:25+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2609.PNG,2025-04-16T20:19:36+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2604.PNG,2025-04-16T20:18:11+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2606.PNG,2025-04-16T20:18:35+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2607.PNG,2025-04-16T20:18:44+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2605.PNG,2025-04-16T20:18:23+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2610.PNG,2025-04-16T20:19:47+00:00,49.97739722222222,9.156644444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2781.PNG,2025-04-19T13:58:36+00:00,52.51575833333333,13.357994444444444,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2845.PNG,2025-04-20T10:30:55+00:00,52.50964722222222,13.376175,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2846.PNG,2025-04-20T10:31:50+00:00,52.50964722222222,13.376175,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2847.PNG,2025-04-20T10:32:48+00:00,52.50964722222222,13.376175,proxy
x:\Photos\MobileBackup\iPhone\2025\04\IMG_2848.PNG,2025-04-20T10:34:36+00:00,52.50964722222222,13.376175,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_0471.jpg,2013-11-02T19:44:33+00:00,37.38800777777778,-121.96355555555556,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_0504.jpg,2013-11-09T21:42:12+00:00,37.80869972222222,-122.41633583333333,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1596.jpg,2013-11-02T19:44:20+00:00,37.38800777777778,-121.96355555555556,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1651.jpg,2013-11-04T23:05:52+00:00,37.528283299977765,-122.2666778,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1672.jpg,2013-11-09T21:42:04+00:00,37.80869972222222,-122.41633583333333,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1675.jpg,2013-11-09T22:06:58+00:00,37.80869972222222,-122.41633583333333,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1748.jpg,2013-11-14T17:44:54+00:00,-23.55500277777778,-47.48433055555556,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1749.jpg,2013-11-14T17:44:58+00:00,-23.55500277777778,-47.48433055555556,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1905.jpg,2013-11-20T20:53:12+00:00,37.54526390008058,-122.28473610000889,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1915.jpg,2013-11-22T12:36:24+00:00,-23.555052777777778,-47.48421916666667,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_1927.jpg,2013-11-23T21:03:04+00:00,37.42175560002223,-122.08843890000952,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_2002.jpg,2013-11-30T23:58:34+00:00,37.55958890002226,-122.28325560013373,proxy
x:\Photos\GooglePhotos\photos\2013\11\IMG_2003.jpg,2013-11-30T23:58:38+00:00,37.55958890002226,-122.28325560013373,proxy
x:\Photos\GooglePhotos\photos\2013\12\IMG_2004.jpg,2013-12-01T01:29:24+00:00,37.55958890002226,-122.28325560013373,proxy
x:\Photos\GooglePhotos\photos\2013\10\IMG_1563.jpg,2013-10-31T18:45:56+00:00,37.53725,-122.2545306,proxy
x:\Photos\GooglePhotos\photos\2013\10\IMG_1564.jpg,2013-10-31T18:45:58+00:00,37.53725,-122.2545306,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9563.jpg,2015-05-03T13:43:15+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9565.jpg,2015-05-03T13:44:40+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9569.jpg,2015-05-03T13:45:16+00:00,-23.815694166666667,-47.727138611111116,proxy
